"VP","VN","FP","FN"
"0","37","18","0"
"4","37","14","0"
"7","37","11","0"
"14","37","4","0"
"16","37","2","0"
"9","37","9","0"
"16","37","2","0"
"5","37","13","0"
"14","37","4","0"
"15","37","3","0"
"14","37","4","0"
"9","37","9","0"
"8","37","10","0"
"14","37","4","0"
"5","37","13","0"
"15","37","3","0"
"16","37","2","0"
"11","37","7","0"
"4","37","14","0"
"15","37","3","0"
"14","37","4","0"
"18","37","0","0"
"15","37","3","0"
"13","37","5","0"
"16","37","2","0"
"15","37","3","0"
"15","37","3","0"
"4","37","14","0"
"10","37","8","0"
"11","37","7","0"
"9","37","9","0"
"18","37","0","0"
"16","37","2","0"
"3","37","15","0"
"2","37","16","0"
"13","37","5","0"
"12","37","6","0"
"15","37","3","0"
"14","37","4","0"
"0","37","18","0"
"11","37","7","0"
"11","37","7","0"
"13","37","5","0"
"7","37","11","0"
"15","37","3","0"
"12","37","6","0"
"17","36","1","1"
"16","37","2","0"
"13","37","5","0"
"9","37","9","0"
"13","37","5","0"
"10","37","8","0"
"9","37","9","0"
"7","37","11","0"
"3","37","15","0"
"15","37","3","0"
"8","37","10","0"
"12","37","6","0"
"15","37","3","0"
"17","37","1","0"
"13","37","5","0"
"11","37","7","0"
"9","37","9","0"
"15","37","3","0"
"11","37","7","0"
"15","37","3","0"
"15","37","3","0"
"12","37","6","0"
"13","37","5","0"
"16","37","2","0"
"7","37","11","0"
"12","37","6","0"
"15","37","3","0"
"14","37","4","0"
"16","37","2","0"
"10","37","8","0"
"9","37","9","0"
"11","37","7","0"
"15","33","3","4"
"12","37","6","0"
"15","37","3","0"
"14","37","4","0"
"16","36","2","1"
"17","37","1","0"
"14","37","4","0"
"15","36","3","1"
"13","37","5","0"
"12","37","6","0"
"11","37","7","0"
"16","37","2","0"
"14","37","4","0"
"14","37","4","0"
"11","37","7","0"
"16","36","2","1"
"15","37","3","0"
"10","37","8","0"
"4","37","14","0"
"8","37","10","0"
"11","37","7","0"
"13","37","5","0"
"0","37","18","0"
